Symptom1,Symptom2,Symptom3,Disease
Sneezing,Headache,Constipation,Arthritis_443363
Palpitations,Jaundice,Shortness of breath,Ulcerative Colitis_785493
Depression,Night sweats,Diarrhea,Gonorrhea_750561
Chest pain,Dry mouth,Itchy skin,Conjunctivitis_643882
Insomnia,Constipation,Runny nose,Sinusitis_975100
Itchy skin,Night sweats,Hearing loss,Rabies_734518
Loss of appetite,Anxiety,Blurred vision,Pneumonia_372517
Itchy skin,Red eyes,Muscle pain,COVID-19_811491
Itchy skin,Vomiting,Runny nose,Tetanus_653608
Jaundice,Weight loss,Night sweats,Multiple Sclerosis_844962
Weight loss,Nausea,Chills,Arthritis_523173
Cough,Fatigue,Dry mouth,Celiac Disease_636657
Fatigue,Insomnia,Jaundice,Hepatitis A_968726
Runny nose,Rash,Wheezing,Dengue_300664
Vomiting,Itchy skin,Fever,Gonorrhea_858063
Runny nose,Dizziness,Headache,Pneumonia_283737
Chills,Sore throat,Runny nose,Tuberculosis_156266
Loss of appetite,Diarrhea,Fever,Celiac Disease_328733
Muscle pain,Back pain,Palpitations,Zika Virus_687286
Sweating,Runny nose,Fatigue,Scabies_526737
Itchy skin,Sneezing,Fever,Sinusitis_892392
Tingling,Red eyes,Jaundice,Gonorrhea_244239
Nausea,Chest pain,Vomiting,Anemia_531912
Blurred vision,Tingling,Headache,Leprosy_721217
Jaundice,Tremors,Constipation,Jaundice_461500
Night sweats,Tremors,Insomnia,Syphilis_748827
Palpitations,Fatigue,Wheezing,Tonsillitis_172358
Sneezing,Itchy skin,Rash,Tonsillitis_19178
Chest pain,Blurred vision,Weight loss,Hepatitis B_725263
Dry mouth,Chills,Headache,Gastroenteritis_828943
Fever,Tingling,Dry mouth,Asthma_60171
Joint pain,Anxiety,Dizziness,Migraine_501413
Chest pain,Wheezing,Red eyes,Jaundice_661830
Tingling,Joint pain,Runny nose,Mononucleosis_338547
Chest pain,Dry mouth,Swollen glands,HIV/AIDS_682206
Fever,Itchy skin,Blurred vision,Diabetes_491971
Red eyes,Dry mouth,Vomiting,Chikungunya_59542
Red eyes,Itchy skin,Shortness of breath,Conjunctivitis_500638
Hair loss,Dry mouth,Sweating,Malaria_400759
Red eyes,Abdominal pain,Rash,Depression_986675
Loss of appetite,Tremors,Joint pain,Cholera_887589
Diarrhea,Blurred vision,Weight loss,Ulcerative Colitis_474487
Joint pain,Jaundice,Depression,Typhoid_631820
Chills,Back pain,Rash,Ulcerative Colitis_326643
Rash,Weight loss,Sneezing,Dengue_965410
Fatigue,Sweating,Palpitations,Syphilis_500887
Palpitations,Weight loss,Runny nose,Diabetes_421361
Depression,Headache,Fever,Bronchitis_97536
Nausea,Vomiting,Depression,Tuberculosis_822898
Night sweats,Constipation,Dizziness,Multiple Sclerosis_785852
Depression,Runny nose,Fatigue,Ulcerative Colitis_742943
Runny nose,Dry mouth,Headache,Mononucleosis_583681
Hearing loss,Back pain,Hair loss,Lupus_450094
Nausea,Red eyes,Vomiting,Zika Virus_89516
Sore throat,Weight loss,Muscle pain,Celiac Disease_164145
Red eyes,Vomiting,Depression,Celiac Disease_845589
Shortness of breath,Anxiety,Red eyes,Chickenpox_812601
Chest pain,Dizziness,Sneezing,Gonorrhea_568861
Joint pain,Nausea,Dry mouth,Celiac Disease_648617
Abdominal pain,Palpitations,Hair loss,Psoriasis_102707
Diarrhea,Wheezing,Shortness of breath,Jaundice_59828
Tingling,Muscle pain,Back pain,Gonorrhea_803737
Headache,Jaundice,Weight loss,Anemia_255728
Insomnia,Headache,Swollen glands,Ulcerative Colitis_175579
Runny nose,Nausea,Back pain,UTI_949438
Fatigue,Diarrhea,Weight loss,Glaucoma_108906
Runny nose,Vomiting,Weight loss,Depression_113319
Abdominal pain,Runny nose,Sore throat,Pneumonia_458905
Rash,Sore throat,Hair loss,Hepatitis B_149481
Tingling,Palpitations,Back pain,Gastroenteritis_753457
Headache,Muscle pain,Insomnia,Tonsillitis_69778
Swollen glands,Sweating,Loss of appetite,Dengue_316258
Chest pain,Sore throat,Loss of appetite,Rabies_188130
Chills,Red eyes,Constipation,Influenza_34874
Jaundice,Vomiting,Sweating,Malaria_321823
Chest pain,Back pain,Constipation,Anemia_636056
Headache,Shortness of breath,Sweating,Psoriasis_17147
Runny nose,Vomiting,Weight loss,Celiac Disease_283607
Night sweats,Fever,Cough,Bronchitis_475840
Fatigue,Hearing loss,Muscle pain,Bronchitis_118098
Tingling,Anxiety,Muscle pain,Anemia_500356
Nausea,Runny nose,Wheezing,Measles_415779
Depression,Fatigue,Blurred vision,Asthma_534707
Headache,Sneezing,Tingling,Syphilis_578351
Dizziness,Back pain,Hair loss,Bronchitis_2086
Diarrhea,Tremors,Weight loss,Psoriasis_2335
Blurred vision,Tremors,Hair loss,Syphilis_493343
Palpitations,Constipation,Tremors,Hepatitis B_680781
Chest pain,Hair loss,Red eyes,Anemia_547828
Weight loss,Loss of appetite,Hair loss,Rabies_283764
Shortness of breath,Palpitations,Depression,Celiac Disease_527637
Sneezing,Diarrhea,Depression,Hepatitis B_707323
Swollen glands,Anxiety,Weight loss,Meningitis_648126
Hearing loss,Insomnia,Rash,Multiple Sclerosis_962032
Loss of appetite,Weight loss,Muscle pain,Arthritis_419213
Constipation,Night sweats,Weight loss,Meningitis_895238
Abdominal pain,Fatigue,Dry mouth,Lupus_136190
Fever,Sweating,Shortness of breath,HIV/AIDS_965612
Rash,Shortness of breath,Wheezing,Tuberculosis_775748
Dizziness,Palpitations,Hearing loss,Chickenpox_501595
Rash,Headache,Night sweats,Tetanus_658162
Insomnia,Vomiting,Jaundice,Epilepsy_292996
Chills,Constipation,Diarrhea,Conjunctivitis_486746
Joint pain,Sweating,Dry mouth,Cholera_538173
Muscle pain,Nausea,Night sweats,Chikungunya_292946
Hair loss,Joint pain,Fever,Diabetes_606833
Hair loss,Back pain,Sweating,Arthritis_86587
Chest pain,Sore throat,Hair loss,Thalassemia_604573
Fatigue,Tingling,Chills,Diabetes_487923
Blurred vision,Itchy skin,Tremors,Epilepsy_507816
Weight loss,Diarrhea,Red eyes,Lupus_775176
Nausea,Blurred vision,Fever,Ulcerative Colitis_932233
Tingling,Fever,Muscle pain,Asthma_561295
Fever,Diarrhea,Loss of appetite,Hepatitis B_333573
Hair loss,Wheezing,Nausea,Conjunctivitis_83372
Headache,Hair loss,Sweating,Chikungunya_333150
Sore throat,Headache,Jaundice,Anemia_43806
Sore throat,Runny nose,Swollen glands,Chikungunya_662740
Rash,Tremors,Itchy skin,Arthritis_100571
Runny nose,Depression,Dry mouth,Depression_181583
Jaundice,Rash,Swollen glands,Celiac Disease_245151
Hair loss,Dry mouth,Fatigue,Cholera_185261
Chills,Weight loss,Joint pain,Asthma_714337
Chills,Insomnia,Runny nose,Anemia_178816
Red eyes,Blurred vision,Dry mouth,Influenza_338014
Jaundice,Tingling,Constipation,Bronchitis_769826
Abdominal pain,Chest pain,Chills,Chickenpox_706479
Chest pain,Dizziness,Joint pain,Arthritis_289217
Tremors,Blurred vision,Joint pain,Ulcerative Colitis_839405
Night sweats,Constipation,Tremors,Leprosy_189457
Headache,Hair loss,Joint pain,Chickenpox_871987
Constipation,Vomiting,Hearing loss,Syphilis_103539
Rash,Headache,Abdominal pain,Migraine_52039
Joint pain,Tingling,Hearing loss,Leprosy_934473
Fatigue,Chills,Dry mouth,Syphilis_746757
Insomnia,Sweating,Nausea,Diabetes_56627
Hair loss,Diarrhea,Muscle pain,Zika Virus_125902
Dry mouth,Fatigue,Tingling,Scabies_205749
Red eyes,Fatigue,Blurred vision,Hepatitis B_393787
Diarrhea,Runny nose,Muscle pain,Measles_98195
Fatigue,Rash,Vomiting,Tetanus_194758
Tremors,Red eyes,Nausea,Thalassemia_48755
Blurred vision,Diarrhea,Red eyes,Conjunctivitis_67226
Sneezing,Swollen glands,Hair loss,Gonorrhea_230301
Muscle pain,Diarrhea,Constipation,Jaundice_331274
Fever,Sore throat,Vomiting,Psoriasis_203769
Vomiting,Cough,Nausea,Psoriasis_371531
Hearing loss,Nausea,Diarrhea,Jaundice_846336
Shortness of breath,Swollen glands,Joint pain,Chickenpox_546997
Tingling,Swollen glands,Runny nose,Depression_974439
Loss of appetite,Hearing loss,Chills,Multiple Sclerosis_827022
Shortness of breath,Abdominal pain,Itchy skin,Gastroenteritis_747431
Diarrhea,Runny nose,Tremors,Gonorrhea_83929
Back pain,Joint pain,Sore throat,Tetanus_355482
Runny nose,Blurred vision,Diarrhea,Malaria_420263
Shortness of breath,Palpitations,Dizziness,Pneumonia_96333
Palpitations,Swollen glands,Tremors,Gonorrhea_177171
Runny nose,Palpitations,Abdominal pain,Cholera_502569
Tremors,Shortness of breath,Sore throat,Hypertension_613044
Depression,Night sweats,Loss of appetite,Gastroenteritis_637859
Blurred vision,Vomiting,Red eyes,Hepatitis A_590238
Insomnia,Blurred vision,Tremors,Influenza_360922
Hearing loss,Tingling,Chest pain,Lupus_294108
Muscle pain,Rash,Tremors,Sinusitis_260076
Weight loss,Diarrhea,Hair loss,Psoriasis_296965
Night sweats,Sweating,Depression,Migraine_257199
Swollen glands,Palpitations,Red eyes,Meningitis_606772
Itchy skin,Anxiety,Hair loss,Anemia_957596
Weight loss,Cough,Fatigue,Pneumonia_592029
Swollen glands,Back pain,Fatigue,Gonorrhea_460669
Blurred vision,Jaundice,Itchy skin,Rabies_289146
Hair loss,Nausea,Dizziness,Ulcerative Colitis_342697
Vomiting,Runny nose,Itchy skin,Anemia_330846
Rash,Chest pain,Jaundice,Asthma_770227
Diarrhea,Fever,Constipation,Hepatitis B_438361
Insomnia,Depression,Back pain,COVID-19_969915
Loss of appetite,Runny nose,Blurred vision,Asthma_942589
Headache,Sweating,Sneezing,Migraine_79593
Cough,Weight loss,Palpitations,UTI_17064
Sore throat,Insomnia,Back pain,Malaria_754269
Sneezing,Palpitations,Dry mouth,Asthma_539031
Sore throat,Runny nose,Dizziness,Depression_512829
Jaundice,Chest pain,Back pain,Measles_898457
Night sweats,Joint pain,Wheezing,Typhoid_583336
Vomiting,Cough,Red eyes,Depression_194417
Diarrhea,Sneezing,Dizziness,Anemia_48912
Tingling,Wheezing,Cough,Tonsillitis_910198
Vomiting,Sore throat,Tingling,Lupus_318764
Dizziness,Chest pain,Depression,Pneumonia_3919
Sore throat,Chills,Tremors,Epilepsy_864040
Red eyes,Nausea,Weight loss,Conjunctivitis_756536
Sore throat,Loss of appetite,Nausea,Chikungunya_642592
Back pain,Itchy skin,Dry mouth,Hypertension_726434
Diarrhea,Constipation,Runny nose,Dengue_866326
Wheezing,Rash,Red eyes,Diabetes_112701
Joint pain,Tremors,Itchy skin,Diabetes_3727
Sore throat,Tingling,Headache,Celiac Disease_279605
Fatigue,Cough,Diarrhea,Migraine_54937
Fever,Weight loss,Runny nose,Meningitis_621216
Joint pain,Back pain,Dizziness,Scabies_431195
Tremors,Jaundice,Chills,Meningitis_757560
Tingling,Sneezing,Back pain,Hepatitis B_288861
Joint pain,Sore throat,Weight loss,Pneumonia_280425
Weight loss,Anxiety,Nausea,Gonorrhea_293183
Chills,Jaundice,Abdominal pain,Tonsillitis_102208
Vomiting,Anxiety,Back pain,Mononucleosis_600563
Wheezing,Loss of appetite,Palpitations,Psoriasis_381145
Jaundice,Sore throat,Hearing loss,COVID-19_886793
Hair loss,Fever,Back pain,Anemia_366864
Cough,Sore throat,Jaundice,Leprosy_635519
Nausea,Diarrhea,Tremors,Depression_140597
Swollen glands,Diarrhea,Tingling,Ulcerative Colitis_599883
Anxiety,Hair loss,Fatigue,Chikungunya_162214
Night sweats,Hearing loss,Shortness of breath,Gastroenteritis_1173
Sweating,Fever,Tremors,Tuberculosis_427160
Headache,Dizziness,Runny nose,Conjunctivitis_790208
Sneezing,Rash,Chest pain,Measles_237115
Joint pain,Back pain,Shortness of breath,Typhoid_354256
Vomiting,Dizziness,Fever,Diabetes_297299
Night sweats,Tremors,Sneezing,Cholera_299341
Insomnia,Hair loss,Swollen glands,Lupus_537908
Insomnia,Tremors,Hearing loss,Malaria_443447
Depression,Fatigue,Tingling,Chickenpox_568663
Fatigue,Fever,Dry mouth,Asthma_743179
Abdominal pain,Tremors,Joint pain,Pneumonia_627311
Jaundice,Weight loss,Palpitations,Lupus_32460
Tremors,Insomnia,Depression,Pneumonia_332543
Hearing loss,Palpitations,Swollen glands,Bronchitis_484718
Chills,Dizziness,Constipation,Hepatitis A_418888
Tingling,Back pain,Red eyes,HIV/AIDS_121466
Nausea,Dry mouth,Weight loss,Cholera_431039
Headache,Red eyes,Fever,Cholera_812149
Rash,Swollen glands,Chills,Tetanus_750622
Anxiety,Red eyes,Swollen glands,Meningitis_354370
Jaundice,Insomnia,Blurred vision,Multiple Sclerosis_701212
Shortness of breath,Joint pain,Headache,Hepatitis A_902762
Swollen glands,Back pain,Tingling,Hepatitis A_429008
Loss of appetite,Depression,Tingling,Glaucoma_365448
Back pain,Insomnia,Runny nose,UTI_941756
Vomiting,Headache,Palpitations,Dengue_795348
Chest pain,Sweating,Swollen glands,Sinusitis_57032
Anxiety,Blurred vision,Nausea,Mononucleosis_871641
Weight loss,Constipation,Chills,Lupus_165538
Rash,Headache,Itchy skin,Anemia_823138
Jaundice,Night sweats,Muscle pain,Pneumonia_865821
Shortness of breath,Blurred vision,Sneezing,Lupus_907104
Runny nose,Fever,Diarrhea,Typhoid_329554
Palpitations,Sweating,Diarrhea,Dengue_399196
Abdominal pain,Chest pain,Diarrhea,Glaucoma_184254
Sweating,Tingling,Chills,Pneumonia_239577
Hearing loss,Palpitations,Sneezing,COVID-19_177289
Night sweats,Nausea,Red eyes,Tetanus_212560
Diarrhea,Nausea,Chest pain,Measles_238725
Red eyes,Rash,Blurred vision,COVID-19_110129
Diarrhea,Nausea,Depression,Mononucleosis_71149
Diarrhea,Back pain,Fever,Mononucleosis_292731
Tremors,Chest pain,Chills,Hypertension_128480
Sneezing,Rash,Tingling,Hypertension_996914
Constipation,Dry mouth,Anxiety,Ulcerative Colitis_503513
Vomiting,Back pain,Jaundice,Influenza_884678
Hearing loss,Fatigue,Jaundice,Leprosy_607045
Fatigue,Jaundice,Blurred vision,Arthritis_922637
Rash,Nausea,Insomnia,Measles_551847
Wheezing,Shortness of breath,Depression,Thalassemia_635347
Swollen glands,Wheezing,Sweating,Mononucleosis_838613
Tremors,Abdominal pain,Vomiting,Zika Virus_450064
Fever,Itchy skin,Tingling,Ulcerative Colitis_217669
Red eyes,Diarrhea,Vomiting,Mononucleosis_849745
Depression,Muscle pain,Headache,Meningitis_77450
Anxiety,Vomiting,Tingling,HIV/AIDS_231360
Swollen glands,Night sweats,Red eyes,Ulcerative Colitis_529549
Itchy skin,Abdominal pain,Dizziness,Epilepsy_146716
Night sweats,Insomnia,Fever,Gastroenteritis_310983
Sweating,Cough,Shortness of breath,Syphilis_361323
Diarrhea,Rash,Fever,Diabetes_193109
Fever,Chest pain,Depression,Gonorrhea_542871
Insomnia,Wheezing,Fatigue,Gonorrhea_634871
Runny nose,Shortness of breath,Muscle pain,Syphilis_775553
Shortness of breath,Anxiety,Abdominal pain,Anemia_874336
Night sweats,Loss of appetite,Muscle pain,Typhoid_520086
Sneezing,Dizziness,Weight loss,Bronchitis_355550
Chest pain,Tingling,Runny nose,Rabies_98522
Hearing loss,Fever,Dry mouth,Lupus_881528
Nausea,Sweating,Hair loss,Cholera_681601
Runny nose,Sore throat,Tingling,Measles_322537
Muscle pain,Itchy skin,Vomiting,Leprosy_389189
Insomnia,Weight loss,Hair loss,Gonorrhea_516191
Sore throat,Insomnia,Back pain,HIV/AIDS_122340
Loss of appetite,Abdominal pain,Hearing loss,Chickenpox_566179
Diarrhea,Itchy skin,Nausea,Pneumonia_627449
Headache,Tingling,Sneezing,Dengue_562588
Diarrhea,Shortness of breath,Back pain,Tetanus_707336
Runny nose,Rash,Dizziness,Depression_943803
Muscle pain,Tremors,Runny nose,Jaundice_158268
Vomiting,Sweating,Nausea,Anemia_97626
Chest pain,Chills,Vomiting,UTI_671782
Palpitations,Fatigue,Sore throat,Ulcerative Colitis_574307
Joint pain,Hearing loss,Tremors,Depression_474235
Itchy skin,Nausea,Joint pain,Sinusitis_530740
Abdominal pain,Dizziness,Sweating,Arthritis_983909
Hearing loss,Sweating,Abdominal pain,Measles_788011
Swollen glands,Shortness of breath,Cough,Hepatitis B_993627
Cough,Swollen glands,Dry mouth,Meningitis_445036
Fever,Runny nose,Headache,Bronchitis_546956
Jaundice,Sore throat,Vomiting,Diabetes_422097
Itchy skin,Chills,Insomnia,Psoriasis_657605
Fever,Sore throat,Rash,Zika Virus_359996
Runny nose,Palpitations,Nausea,Depression_808839
Muscle pain,Loss of appetite,Constipation,Celiac Disease_2363
Shortness of breath,Itchy skin,Dry mouth,Syphilis_167939
Dizziness,Fatigue,Anxiety,Hypertension_394682
Palpitations,Hair loss,Chills,Malaria_385303
Sneezing,Palpitations,Chills,Asthma_723675
Joint pain,Abdominal pain,Dizziness,Malaria_679611
Jaundice,Cough,Back pain,Cholera_371239
Runny nose,Shortness of breath,Joint pain,Gastroenteritis_326025
Fatigue,Cough,Sweating,Jaundice_768872
Night sweats,Headache,Constipation,Bronchitis_337058
Abdominal pain,Hearing loss,Red eyes,HIV/AIDS_656492
Hair loss,Runny nose,Back pain,Anemia_873324
Swollen glands,Fever,Sweating,Typhoid_411158
Fatigue,Chills,Headache,Arthritis_316449
Constipation,Dry mouth,Chest pain,Epilepsy_439966
Constipation,Itchy skin,Palpitations,Bronchitis_267230
Insomnia,Sneezing,Tingling,Bronchitis_351548
Tremors,Rash,Constipation,Asthma_972075
Hair loss,Blurred vision,Fever,Psoriasis_588467
Sweating,Rash,Dizziness,Hypertension_968440
Dizziness,Shortness of breath,Muscle pain,Migraine_618023
Night sweats,Cough,Joint pain,Tuberculosis_221816
Itchy skin,Muscle pain,Fatigue,Syphilis_484833
Anxiety,Sweating,Hair loss,Migraine_809199
Abdominal pain,Sore throat,Jaundice,Bronchitis_486374
Insomnia,Chest pain,Anxiety,Typhoid_885510
Hair loss,Fever,Sneezing,Tuberculosis_901374
Sneezing,Shortness of breath,Jaundice,Diabetes_135931
Dizziness,Fever,Sore throat,Depression_506343
Headache,Depression,Dry mouth,Multiple Sclerosis_938066
Dizziness,Itchy skin,Chills,Chikungunya_34610
Night sweats,Cough,Nausea,Tonsillitis_686914
Anxiety,Insomnia,Constipation,Syphilis_649191
Muscle pain,Vomiting,Fatigue,Influenza_8470
Dizziness,Tremors,Wheezing,Bronchitis_371420
Sneezing,Dizziness,Wheezing,Tetanus_545002
Itchy skin,Weight loss,Vomiting,Jaundice_211398
Vomiting,Fever,Back pain,Conjunctivitis_480720
Tingling,Depression,Chills,Asthma_616403
Fever,Vomiting,Depression,Pneumonia_160457
Anxiety,Itchy skin,Muscle pain,Meningitis_621538
Blurred vision,Fatigue,Shortness of breath,Glaucoma_199250
Wheezing,Tingling,Dizziness,Vertigo_925105
Itchy skin,Sore throat,Headache,Malaria_936291
Chest pain,Hair loss,Tremors,Arthritis_639415
Sneezing,Muscle pain,Headache,Chikungunya_559286
Headache,Hearing loss,Runny nose,Zika Virus_441002
Sweating,Depression,Swollen glands,Migraine_409459
Diarrhea,Palpitations,Dry mouth,Leprosy_444067
Joint pain,Fever,Runny nose,Typhoid_535174
Red eyes,Wheezing,Depression,Syphilis_139097
Headache,Dizziness,Sweating,Depression_517567
Chest pain,Itchy skin,Constipation,Multiple Sclerosis_403914
Shortness of breath,Loss of appetite,Red eyes,Syphilis_96915
Dry mouth,Depression,Chest pain,Influenza_170160
Blurred vision,Weight loss,Shortness of breath,Meningitis_877390
Cough,Tremors,Headache,Leprosy_605481
Loss of appetite,Hearing loss,Palpitations,Mononucleosis_931763
Blurred vision,Swollen glands,Tingling,Thalassemia_215321
Sweating,Tremors,Constipation,Dengue_958970
Chills,Muscle pain,Hair loss,Hepatitis A_288800
Palpitations,Red eyes,Nausea,Sinusitis_855178
Joint pain,Constipation,Loss of appetite,Gonorrhea_77627
Red eyes,Depression,Palpitations,Syphilis_394029
Joint pain,Back pain,Sneezing,Malaria_604861
Tremors,Cough,Nausea,Psoriasis_324565
Hair loss,Itchy skin,Depression,Zika Virus_885040
Constipation,Red eyes,Insomnia,Malaria_366351
Dizziness,Sore throat,Fatigue,HIV/AIDS_481094
Diarrhea,Rash,Fever,Mononucleosis_79
Hearing loss,Red eyes,Itchy skin,Anemia_655514
Hearing loss,Constipation,Diarrhea,Gastroenteritis_173305
Insomnia,Sore throat,Tremors,Hepatitis A_56132
Joint pain,Swollen glands,Diarrhea,Influenza_86900
Muscle pain,Cough,Headache,Arthritis_933907
Red eyes,Diarrhea,Nausea,Hepatitis B_700239
Tingling,Hearing loss,Sore throat,Cholera_325929
Muscle pain,Night sweats,Palpitations,Diabetes_489625
Insomnia,Sore throat,Shortness of breath,Asthma_776943
Abdominal pain,Vomiting,Swollen glands,Epilepsy_533024
Itchy skin,Sweating,Hearing loss,Hepatitis B_237387
Sneezing,Depression,Wheezing,Pneumonia_913615
Sweating,Headache,Night sweats,Tetanus_28790
Tingling,Rash,Fatigue,Malaria_280653
Insomnia,Weight loss,Vomiting,UTI_591374
Shortness of breath,Rash,Vomiting,Measles_974449
Fever,Sneezing,Back pain,Typhoid_82028
Hair loss,Fatigue,Loss of appetite,Thalassemia_99815
Palpitations,Sore throat,Fever,Thalassemia_972711
Joint pain,Depression,Fatigue,Dengue_514518
Chills,Swollen glands,Palpitations,Gastroenteritis_385503
Hearing loss,Diarrhea,Muscle pain,Sinusitis_970086
Itchy skin,Back pain,Fever,Leprosy_323409
Back pain,Chills,Night sweats,UTI_396564
Anxiety,Hair loss,Tingling,Influenza_782512
Runny nose,Palpitations,Tremors,Typhoid_547870
Runny nose,Loss of appetite,Dry mouth,Vertigo_183815
Sweating,Tremors,Jaundice,Asthma_417867
Sore throat,Depression,Sweating,Sinusitis_4730
Headache,Cough,Loss of appetite,Celiac Disease_361531
Hair loss,Dizziness,Nausea,Measles_447933
Swollen glands,Nausea,Diarrhea,Anemia_440740
Chills,Back pain,Depression,Gonorrhea_931295
Anxiety,Back pain,Rash,Migraine_228265
Sneezing,Dry mouth,Headache,Tetanus_440766
Constipation,Hair loss,Muscle pain,Glaucoma_370462
